region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,2013-05-01,21,8.045716845878136,249.41722222222222
dalarna,2013-06-01,20,7.751805555555555,232.55416666666667
dalarna,2013-07-01,22,9.630008960573477,298.53027777777777
dalarna,2013-08-01,20,8.231514336917563,255.17694444444444
dalarna,2013-09-01,15,5.999120370370371,179.97361111111113
dalarna,2013-10-01,14,4.2673028673835125,132.2863888888889
dalarna,2013-11-01,6,2.1769074074074073,65.30722222222222
dalarna,2013-12-01,0,1.0278763440860215,31.864166666666666
dalarna,2014-01-01,0,0.33703405017921145,10.448055555555555
dalarna,2014-02-01,3,1.0300595238095238,28.84166666666667
dalarna,2014-03-01,16,5.550833333333333,172.07583333333332
dalarna,2014-04-01,19,7.960916666666666,238.8275
dalarna,2014-05-01,18,6.774462365591398,210.00833333333333
dalarna,2014-06-01,18,7.39725,221.9175
dalarna,2014-07-01,27,11.08260752688172,343.56083333333333
dalarna,2014-08-01,16,6.4604749103942645,200.2747222222222
dalarna,2014-09-01,23,8.019287037037037,240.57861111111112
dalarna,2014-10-01,5,1.625358422939068,50.38611111111111
dalarna,2014-11-01,0,0.4616111111111111,13.848333333333333
dalarna,2014-12-01,0,2.086209677419355,64.6725
dalarna,2015-01-01,2,1.3782078853046595,42.724444444444444
dalarna,2015-02-01,3,1.8154365079365078,50.83222222222222
dalarna,2015-03-01,16,5.283001792114695,163.77305555555554
dalarna,2015-04-01,20,8.067222222222222,242.01666666666665
dalarna,2015-05-01,14,5.595519713261648,173.4611111111111
dalarna,2015-06-01,15,7.341064814814815,220.23194444444445
dalarna,2015-07-01,13,6.407491039426524,198.63222222222223
dalarna,2015-08-01,26,10.317858422939068,319.8536111111111
dalarna,2015-09-01,11,4.3896296296296295,131.6888888888889
dalarna,2015-10-01,16,4.903234767025089,152.00027777777777
dalarna,2015-11-01,5,2.598324074074074,77.94972222222222
dalarna,2015-12-01,0,1.9359856630824372,60.01555555555556
dalarna,2016-01-01,2,1.8288082437275985,56.69305555555555
dalarna,2016-02-01,10,3.574214559386973,103.65222222222222
dalarna,2016-03-01,5,2.81081541218638,87.13527777777777
dalarna,2016-04-01,10,4.638148148148148,139.14444444444445
