Period;Grupp;Serie;Medel;Min;Max
2020 februari;Valutor mot svenska kronor;1 USD;9,6885;9,5698;9,8108
2020 mars;Valutor mot svenska kronor;1 USD;9,80385;9,3945;10,4371
2020 april;Valutor mot svenska kronor;1 USD;10,02276;9,8463;10,1524
2020 maj;Valutor mot svenska kronor;1 USD;9,74258;9,4682;9,9052
2020 juni;Valutor mot svenska kronor;1 USD;9,30359;9,1512;9,4225
2020 juli;Valutor mot svenska kronor;1 USD;9,04981;8,6536;9,334
2020 augusti;Valutor mot svenska kronor;1 USD;8,7148;8,6419;8,7839
2020 september;Valutor mot svenska kronor;1 USD;8,8373;8,6191;9,1129
2020 oktober;Valutor mot svenska kronor;1 USD;8,83982;8,7246;8,9416
2020 november;Valutor mot svenska kronor;1 USD;8,6483;8,4813;8,93
2020 december;Valutor mot svenska kronor;1 USD;8,37874;8,1886;8,5233
2021 januari;Valutor mot svenska kronor;1 USD;8,29705;8,1876;8,4053
2021 februari;Valutor mot svenska kronor;1 USD;8,3338;8,2526;8,4478
2021 mars;Valutor mot svenska kronor;1 USD;8,54124;8,3892;8,7239
2021 april;Valutor mot svenska kronor;1 USD;8,48466;8,3451;8,7436
2021 maj;Valutor mot svenska kronor;1 USD;8,35076;8,2665;8,5016
2021 juni;Valutor mot svenska kronor;1 USD;8,39033;8,2477;8,6269
2021 juli;Valutor mot svenska kronor;1 USD;8,6278;8,5279;8,7311
2021 augusti;Valutor mot svenska kronor;1 USD;8,6777;8,5855;8,8216
2021 september;Valutor mot svenska kronor;1 USD;8,63883;8,5494;8,7911
2021 oktober;Valutor mot svenska kronor;1 USD;8,67272;8,5195;8,796
2021 november;Valutor mot svenska kronor;1 USD;8,80117;8,5224;9,1618
2021 december;Valutor mot svenska kronor;1 USD;9,09142;9,0305;9,151
2022 januari;Valutor mot svenska kronor;1 USD;9,13834;8,9129;9,4369
2022 februari;Valutor mot svenska kronor;1 USD;9,29104;9,1008;9,5289
2022 mars;Valutor mot svenska kronor;1 USD;9,57152;9,2641;9,9855
2022 april;Valutor mot svenska kronor;1 USD;9,54048;9,3791;9,8657
2022 maj;Valutor mot svenska kronor;1 USD;9,92973;9,7667;10,1327
2022 juni;Valutor mot svenska kronor;1 USD;10,02503;9,6968;10,2683
2022 juli;Valutor mot svenska kronor;1 USD;10,38347;10,1362;10,6538
2022 augusti;Valutor mot svenska kronor;1 USD;10,37685;10,0318;10,718
2022 september;Valutor mot svenska kronor;1 USD;10,88084;10,4609;11,4328
2022 oktober;Valutor mot svenska kronor;1 USD;11,129;10,8692;11,3642
2022 november;Valutor mot svenska kronor;1 USD;10,67112;10,3678;11,1763
2022 december;Valutor mot svenska kronor;1 USD;10,37591;10,2074;10,4954
2023 januari;Valutor mot svenska kronor;1 USD;10,37384;10,20;10,5391
2023 februari;Valutor mot svenska kronor;1 USD;10,43162;10,3078;10,6244
2023 mars;Valutor mot svenska kronor;1 USD;10,47417;10,2535;10,7657
2023 april;Valutor mot svenska kronor;1 USD;10,33565;10,2507;10,4718
2023 maj;Valutor mot svenska kronor;1 USD;10,4447;10,1522;10,8339
2023 juni;Valutor mot svenska kronor;1 USD;10,76308;10,6039;10,9055
2023 juli;Valutor mot svenska kronor;1 USD;10,52416;10,1805;10,9421
2023 augusti;Valutor mot svenska kronor;1 USD;10,81891;10,5736;11,0273
2023 september;Valutor mot svenska kronor;1 USD;11,08553;10,8413;11,1926
2023 oktober;Valutor mot svenska kronor;1 USD;11,02365;10,8812;11,2015
2023 november;Valutor mot svenska kronor;1 USD;10,69881;10,34638;11,1795
2023 december;Valutor mot svenska kronor;1 USD;10,27675;9,9318;10,502
2024 januari;Valutor mot svenska kronor;1 USD;10,34719;10,18118;10,49265
