﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Malmö-Sturup Flygplats;53300;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1973-01-01 00:00:00;1997-10-31 23:59:59;72.0;55.5390;13.3665
1997-11-01 00:00:00;2026-05-01 14:20:59;72.0;55.5231;13.3787

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1995-10-01 00:00:01;1995-11-01 00:00:00;1995-10;10.7;Y
1995-11-01 00:00:01;1995-12-01 00:00:00;1995-11;2.3;Y
1995-12-01 00:00:01;1996-01-01 00:00:00;1995-12;-3.3;Y
1996-03-01 00:00:01;1996-04-01 00:00:00;1996-03;-0.7;Y
1996-04-01 00:00:01;1996-05-01 00:00:00;1996-04;6.4;Y
1996-05-01 00:00:01;1996-06-01 00:00:00;1996-05;8.7;Y
1996-06-01 00:00:01;1996-07-01 00:00:00;1996-06;13.6;Y
1996-07-01 00:00:01;1996-08-01 00:00:00;1996-07;14.7;Y
1996-08-01 00:00:01;1996-09-01 00:00:00;1996-08;17.5;Y
1996-09-01 00:00:01;1996-10-01 00:00:00;1996-09;10.5;Y
1996-10-01 00:00:01;1996-11-01 00:00:00;1996-10;9.1;Y
1996-11-01 00:00:01;1996-12-01 00:00:00;1996-11;4.4;Y
1996-12-01 00:00:01;1997-01-01 00:00:00;1996-12;-1.7;Y
1997-01-01 00:00:01;1997-02-01 00:00:00;1997-01;-3.4;Y
1997-02-01 00:00:01;1997-03-01 00:00:00;1997-02;1.7;Y
1997-03-01 00:00:01;1997-04-01 00:00:00;1997-03;2.6;Y
1997-04-01 00:00:01;1997-05-01 00:00:00;1997-04;4.7;Y
1997-05-01 00:00:01;1997-06-01 00:00:00;1997-05;9.3;Y
1997-06-01 00:00:01;1997-07-01 00:00:00;1997-06;14.7;Y
1997-07-01 00:00:01;1997-08-01 00:00:00;1997-07;17.2;Y
1997-08-01 00:00:01;1997-09-01 00:00:00;1997-08;19.8;Y
1997-09-01 00:00:01;1997-10-01 00:00:00;1997-09;13.2;Y
1997-10-01 00:00:01;1997-11-01 00:00:00;1997-10;6.3;G
2008-01-01 00:00:01;2008-02-01 00:00:00;2008-01;3.0;Y
2008-02-01 00:00:01;2008-03-01 00:00:00;2008-02;3.7;Y
2008-03-01 00:00:01;2008-04-01 00:00:00;2008-03;2.8;Y
2008-04-01 00:00:01;2008-05-01 00:00:00;2008-04;7.0;Y
