﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-11-01 00:00:00;2026-05-01 14:20:59;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-09-01 00:00:01;2019-10-01 00:00:00;2019-09;13.2;Y
2019-10-01 00:00:01;2019-11-01 00:00:00;2019-10;7.2;Y
2019-11-01 00:00:01;2019-12-01 00:00:00;2019-11;4.0;Y
2019-12-01 00:00:01;2020-01-01 00:00:00;2019-12;3.0;Y
2020-01-01 00:00:01;2020-02-01 00:00:00;2020-01;4.1;Y
2020-02-01 00:00:01;2020-03-01 00:00:00;2020-02;2.9;Y
2020-03-01 00:00:01;2020-04-01 00:00:00;2020-03;3.6;Y
2020-04-01 00:00:01;2020-05-01 00:00:00;2020-04;7.1;Y
2020-05-01 00:00:01;2020-06-01 00:00:00;2020-05;10.1;Y
2020-06-01 00:00:01;2020-07-01 00:00:00;2020-06;18.6;Y
2020-07-01 00:00:01;2020-08-01 00:00:00;2020-07;17.0;Y
2020-08-01 00:00:01;2020-09-01 00:00:00;2020-08;19.3;Y
2020-09-01 00:00:01;2020-10-01 00:00:00;2020-09;14.2;Y
2020-10-01 00:00:01;2020-11-01 00:00:00;2020-10;9.3;Y
2020-11-01 00:00:01;2020-12-01 00:00:00;2020-11;6.9;Y
2020-12-01 00:00:01;2021-01-01 00:00:00;2020-12;4.0;Y
2021-01-01 00:00:01;2021-02-01 00:00:00;2021-01;-1.2;Y
2021-02-01 00:00:01;2021-03-01 00:00:00;2021-02;-2.0;Y
2021-03-01 00:00:01;2021-04-01 00:00:00;2021-03;3.5;Y
2021-04-01 00:00:01;2021-05-01 00:00:00;2021-04;5.3;Y
2021-05-01 00:00:01;2021-06-01 00:00:00;2021-05;10.6;Y
2021-06-01 00:00:01;2021-07-01 00:00:00;2021-06;19.3;Y
2021-07-01 00:00:01;2021-08-01 00:00:00;2021-07;21.2;Y
2021-08-01 00:00:01;2021-09-01 00:00:00;2021-08;16.0;Y
2021-09-01 00:00:01;2021-10-01 00:00:00;2021-09;12.7;Y
2021-10-01 00:00:01;2021-11-01 00:00:00;2021-10;9.3;Y
2021-11-01 00:00:01;2021-12-01 00:00:00;2021-11;3.7;Y
2021-12-01 00:00:01;2022-01-01 00:00:00;2021-12;-1.6;Y
2022-01-01 00:00:01;2022-02-01 00:00:00;2022-01;0.5;Y
2022-02-01 00:00:01;2022-03-01 00:00:00;2022-02;0.9;Y
2022-03-01 00:00:01;2022-04-01 00:00:00;2022-03;4.1;Y
2022-04-01 00:00:01;2022-05-01 00:00:00;2022-04;5.6;Y
2022-05-01 00:00:01;2022-06-01 00:00:00;2022-05;11.5;Y
2022-06-01 00:00:01;2022-07-01 00:00:00;2022-06;18.1;Y
